time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
1731279600,1.07245,1.07285,1.0723,1.0726,1495,NaN,0,931,0,767,1131,-364,767,609756
1731280200,1.07265,1.07275,1.0724,1.07255,479,NaN,0,175,-38,175,327,-152,175,609756
1731280800,1.07255,1.07285,1.07255,1.07275,773,NaN,0,347,0,125,449,-324,125,609756
1731281400,1.07275,1.0732,1.07275,1.07285,716,NaN,0,450,0,184,450,-266,184,609756
1731282000,1.07285,1.07315,1.07275,1.07315,447,NaN,0,259,-63,259,353,-94,259,609756
1731282600,1.07315,1.07315,1.07275,1.0728,307,NaN,0,0,-171,-171,68,-239,-171,609756
1731283200,1.0728,1.07285,1.07235,1.0726,1001,NaN,0,176,-311,-239,381,-620,-239,609756
1731283800,1.0726,1.0729,1.07255,1.0729,556,NaN,0,288,0,192,374,-182,192,609756
1731284400,1.07295,1.07335,1.07295,1.07335,724,NaN,0,454,0,454,589,-135,454,609756
1731285000,1.07335,1.0734,1.07315,1.0733,859,NaN,0,0,-342,-251,304,-555,-251,609756
1731285600,1.0733,1.07335,1.0731,1.0731,829,NaN,0,176,-106,-13,408,-421,-13,609756
1731286200,1.07305,1.0733,1.07285,1.07325,1152,NaN,0,532,-95,532,842,-310,532,609756
1731286800,1.0732,1.0735,1.0731,1.07345,902,NaN,0,440,0,440,671,-231,440,609756
1731287400,1.07345,1.07375,1.07345,1.0737,711,NaN,0,272,-22,179,445,-266,179,609756
1731288000,1.0737,1.0743,1.07365,1.074,927,NaN,0,262,-63,127,527,-400,127,609756
1731288600,1.074,1.0742,1.0736,1.07375,715,NaN,0,160,-261,-127,294,-421,-127,609756
1731289200,1.07375,1.0739,1.07365,1.07365,545,NaN,0,74,-165,-165,190,-355,-165,609756
1731289800,1.07365,1.0738,1.0734,1.0735,736,NaN,0,185,-164,-14,361,-375,-14,609756
1731290400,1.0735,1.0738,1.07345,1.07375,579,NaN,0,319,0,319,449,-130,319,609756
1731291000,1.07375,1.074,1.07365,1.07375,547,750,0,299,-54,159,353,-194,159,609756
1731291600,1.07375,1.0738,1.07355,1.0736,603,705.4,0,12,-225,-75,264,-339,-75,609756
