time,open,high,low,close,Volume,Volume MA,Volume Delta (Ouverture),Volume Delta (Haut,Volume Delta (Bas),Volume Delta (Fermeture),Up Volume,Down Volume,delta,Futures Open Interest
1609714800,1.2252,1.22705,1.2249,1.22595,7568,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609722000,1.226,1.2277,1.2259,1.22725,6904,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609729200,1.22725,1.22765,1.22625,1.22675,3944,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609736400,1.2268,1.2278,1.22605,1.2275,6103,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609743600,1.22755,1.23045,1.2273,1.23,22223,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609750800,1.22995,1.2319,1.22975,1.2311,18136,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609758000,1.23105,1.2325,1.2306,1.23225,18064,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609765200,1.23225,1.23295,1.2303,1.2308,27561,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609772400,1.23085,1.231,1.22705,1.2272,34558,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609779600,1.2272,1.228,1.22615,1.22695,19490,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609786800,1.22695,1.22715,1.226,1.22685,11481,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,662648
1609794000,1.2268,1.2272,1.2261,1.2268,2515,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609801200,1.2268,1.22755,1.22655,1.2274,2574,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609808400,1.22745,1.22915,1.22735,1.22895,4034,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609815600,1.2289,1.22955,1.2284,1.2288,4685,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609822800,1.22875,1.2293,1.2285,1.2288,3953,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609830000,1.2288,1.2297,1.22735,1.2292,15062,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609837200,1.2292,1.23025,1.22865,1.2295,13225,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609844400,1.22955,1.23085,1.2284,1.22905,12861,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609851600,1.22905,1.2297,1.2277,1.2283,19429,12718.5,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609858800,1.2282,1.2315,1.22715,1.2313,27561,13718.15,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609866000,1.23135,1.2324,1.2311,1.23125,16120,14178.95,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609873200,1.23125,1.2324,1.2309,1.23125,9297,14446.6,0,NaN,NaN,NaN,NaN,NaN,NaN,664378
1609880400,1.2312,1.23185,1.23085,1.2316,1592,14221.05,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609887600,1.2316,1.23455,1.231,1.2327,10658,13642.8,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609894800,1.2327,1.2333,1.22945,1.2297,11503,13311.15,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609902000,1.22965,1.23245,1.22925,1.231,9089,12862.4,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609909200,1.231,1.23395,1.231,1.23345,6447,11806.7,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609916400,1.23345,1.23635,1.23305,1.2343,24745,11316.05,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609923600,1.2343,1.2363,1.2339,1.2356,12748,10978.95,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609930800,1.2357,1.2368,1.23475,1.23585,17294,11269.6,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609938000,1.23585,1.23635,1.231,1.23275,41872,13237.45,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609945200,1.23275,1.2336,1.22835,1.2308,35710,14894.25,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609952400,1.2308,1.23355,1.2303,1.23285,16053,15495.2,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609959600,1.23285,1.2358,1.23155,1.23425,23803,16451.1,0,NaN,NaN,NaN,NaN,NaN,NaN,665795
1609966800,1.23425,1.23495,1.234,1.2345,2087,16357.8,0,NaN,NaN,NaN,NaN,NaN,NaN,665737
