time,open,high,low,close
1704150000,1.1076,1.10785,1.1071,1.10715
1704151800,1.10715,1.10725,1.10695,1.1071
1704153600,1.1071,1.1072,1.1068,1.1069
1704155400,1.1069,1.10725,1.10685,1.1072
1704157200,1.1072,1.1077,1.10715,1.10735
1704159000,1.10735,1.1074,1.1068,1.10685
1704160800,1.1069,1.107,1.10605,1.10605
1704162600,1.10605,1.1061,1.1052,1.10525
1704164400,1.10525,1.10585,1.10515,1.10555
1704166200,1.10555,1.1059,1.10545,1.10585
1704168000,1.10585,1.10585,1.1053,1.1053
1704169800,1.1053,1.1055,1.105,1.10545
1704171600,1.10545,1.1062,1.10545,1.106
1704173400,1.106,1.1067,1.106,1.1067
1704175200,1.1067,1.1068,1.10635,1.10655
1704177000,1.1066,1.1069,1.1061,1.10625
1704178800,1.10625,1.10715,1.1058,1.1071
1704180600,1.10705,1.10715,1.1049,1.10495
1704182400,1.10495,1.1073,1.10495,1.10625
1704184200,1.1063,1.1067,1.1059,1.10635
1704186000,1.10635,1.10715,1.10625,1.1067
1704187800,1.1067,1.1069,1.1045,1.1049
1704189600,1.10485,1.1051,1.10305,1.10375
1704191400,1.10375,1.1045,1.10365,1.1041
1704193200,1.1041,1.1041,1.1012,1.1014
1704195000,1.1014,1.1014,1.1,1.1003
1704196800,1.1003,1.10055,1.0995,1.0999
1704198600,1.09995,1.10015,1.0987,1.09875
1704200400,1.09875,1.09955,1.0985,1.09915
1704202200,1.09915,1.09985,1.09825,1.0986
1704204000,1.0986,1.0991,1.09785,1.09855
1704205800,1.0985,1.09975,1.09845,1.09965
1704207600,1.0996,1.1002,1.0987,1.0993
1704209400,1.09925,1.09925,1.09745,1.09775
1704211200,1.0978,1.09955,1.0975,1.0992
1704213000,1.09915,1.0992,1.09785,1.09905
1704214800,1.09905,1.09915,1.098,1.09875
1704216600,1.09875,1.099,1.09805,1.0984
1704218400,1.0984,1.099,1.09815,1.09885
1704220200,1.0988,1.0989,1.098,1.09805
1704222000,1.09805,1.0984,1.0977,1.09835
1704223800,1.0983,1.0984,1.0979,1.09805
1704225600,1.098,1.0985,1.09795,1.09795
1704227400,1.098,1.09825,1.0976,1.0977
1704229200,1.0977,1.09775,1.09725,1.09725
1704231000,1.0973,1.09765,1.09725,1.09735
1704236400,1.09745,1.09775,1.09745,1.09765
1704238200,1.09765,1.09775,1.09745,1.09755
1704240000,1.09755,1.09825,1.0975,1.09825
1704241800,1.09825,1.0984,1.09815,1.0983
1704243600,1.0983,1.09845,1.09785,1.09845
1704245400,1.09845,1.0988,1.0984,1.09845
1704247200,1.0985,1.09865,1.0982,1.09825
1704249000,1.09825,1.09865,1.09825,1.0986
1704250800,1.0986,1.0988,1.09825,1.0987
1704252600,1.09865,1.09955,1.09865,1.09945
1704254400,1.0994,1.0996,1.0993,1.0994
1704256200,1.09935,1.09955,1.09925,1.09955
1704258000,1.0996,1.0996,1.09915,1.0992
1704259800,1.0992,1.0994,1.09845,1.09845
1704261600,1.09845,1.0992,1.0984,1.0991
1704263400,1.0991,1.0994,1.09905,1.0992
1704265200,1.09915,1.0993,1.09845,1.09905
1704267000,1.0991,1.0996,1.09885,1.0993
1704268800,1.0993,1.09985,1.09835,1.09865
1704270600,1.09865,1.0991,1.09835,1.09865
1704272400,1.09855,1.09895,1.09695,1.0972
1704274200,1.0972,1.09775,1.0968,1.09695
1704276000,1.09695,1.09725,1.09625,1.0963
1704277800,1.09625,1.09675,1.09595,1.0961
1704279600,1.09615,1.0963,1.0954,1.0956
1704281400,1.0956,1.0957,1.09485,1.0953
1704283200,1.09525,1.0965,1.0951,1.09595
1704285000,1.0959,1.09615,1.0948,1.095
1704286800,1.095,1.09555,1.09435,1.09545
1704288600,1.09545,1.0963,1.0949,1.09545
1704290400,1.0955,1.09575,1.0944,1.09485
1704292200,1.09485,1.096,1.0943,1.09465
1704294000,1.09475,1.09715,1.09435,1.09485
1704295800,1.0948,1.0952,1.09315,1.09375
1704297600,1.0938,1.0951,1.09355,1.0946
1704299400,1.09465,1.09485,1.09395,1.09415
1704301200,1.09415,1.0943,1.09365,1.09425
1704303000,1.0942,1.09435,1.09365,1.094
1704304800,1.094,1.0948,1.094,1.0944
1704306600,1.09435,1.09435,1.0936,1.09385
1704308400,1.09395,1.0957,1.0926,1.0956
1704310200,1.0956,1.09585,1.0947,1.09505
1704312000,1.0951,1.09565,1.09475,1.09505
1704313800,1.0951,1.0955,1.09495,1.09545
1704315600,1.0954,1.09565,1.0952,1.0956
