symbol,name,exchange,currency,marketType,defaultBroker
AAPL,Apple Inc.,NASDAQ,USD,STOCK,IBKR
MSFT,Microsoft Corp.,NASDAQ,USD,STOCK,IBKR
AMZN,Amazon.com Inc.,NASDAQ,USD,STOCK,IBKR
NVDA,NVIDIA Corp.,NASDAQ,USD,STOCK,IBKR
GOOG,Alphabet Inc. Class C,NASDAQ,USD,STOCK,IBKR
META,Meta Platforms Inc.,NASDAQ,USD,STOCK,IBKR
TSLA,Tesla Inc.,NASDAQ,USD,STOCK,IBKR
AVGO,Broadcom Inc.,NASDAQ,USD,STOCK,IBKR
ADBE,Adobe Inc.,NASDAQ,USD,STOCK,IBKR
COST,Costco Wholesale Corp.,NASDAQ,USD,STOCK,IBKR
