symbol,name,exchange,currency,marketType,defaultBroker
EURUSD,EUR/USD,DUKASCOPY,USD,FOREX,DUKASCOPY
GBPUSD,GBP/USD,DUKASCOPY,USD,FOREX,DUKASCOPY
USDJPY,USD/JPY,DUKASCOPY,JPY,FOREX,DUKASCOPY
USDCHF,USD/CHF,DUKASCOPY,CHF,FOREX,DUKASCOPY
USDCAD,USD/CAD,DUKASCOPY,CAD,FOREX,DUKASCOPY
AUDUSD,AUD/USD,DUKASCOPY,USD,FOREX,DUKASCOPY
NZDUSD,NZD/USD,DUKASCOPY,USD,FOREX,DUKASCOPY
